ticket_id,ticket_text,issue_type,urgency_level,product,clean_text
1,Payment issue for my SmartWatch V2. I was underbilled for order #29224.,Billing Problem,Medium,SmartWatch V2,pay issue my smartwatch v2 i underbill order 29224
2,"Can you tell me more about the UltraClean Vacuum warranty? Also, is it available in white?",General Inquiry,,UltraClean Vacuum,can you tell me more about ultraclean vacuum warranty also available white
3,I ordered SoundWave 300 but got EcoBreeze AC instead. My order number is #36824.,Wrong Item,Medium,SoundWave 300,i order soundwave 300 but got ecobreeze ac instead my order number 36824
4,Facing installation issue with PhotoSnap Cam. Setup fails at step 1.,Installation Issue,Low,PhotoSnap Cam,fac installation issue photosnap cam setup fail step 1
5,"Order #30903 for Vision LED TV is 13 days late. Ordered on 03 March. Also, I contacted support on 03 March but got no response.",Late Delivery,,Vision LED TV,order 30903 vision led tv 13 day late order 03 march also i contact support 03 march but got no response
6,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red?",General Inquiry,Medium,PhotoSnap Cam,can you tell me more about photosnap cam warranty also available red
7, is malfunction. It stopped working after just 7 days.,Product Defect,Low,EcoBreeze AC,malfunction stopp work after just 7 day
8,"Facing installation issue with RoboChef Blender. Setup fails at step 3. Also, I contacted support on 17 March but got no response.",Installation Issue,High,RoboChef Blender,fac installation issue robochef blender setup fail step 3 also i contact support 17 march but got no response
9,Both my FitRun Treadmill and UltraClean Vacuum are error. Both giving issues.,,High,FitRun Treadmill,both my fitrun treadmill ultraclean vacuum error both giv issu
10,,Product Defect,High,PhotoSnap Cam,nan
11,,,Medium,Vision LED TV,nan
12,Order #34285 placed on 18 March still not here.,Late Delivery,Medium,RoboChef Blender,order 34285 plac 18 march still here
13,Vision LED TV is no response. It stopped working after just 9 days.,,,Vision LED TV,vision led tv no response stopp work after just 9 day
14,"Both my PowerMax Battery and EcoBreeze AC are lost. Both giving issues. Also, I contacted support on 12 March but got no response.",Product Defect,High,PowerMax Battery,both my powermax battery ecobreeze ac lost both giv issu also i contact support 12 march but got no response
15,Order #53356 for RoboChef Blender is 18 days late. Ordered on 13 April.,Late Delivery,High,RoboChef Blender,order 53356 robochef blender 18 day late order 13 april
16,Order #49712 for RoboChef Blender is 4 days late. Ordered on 25 April.,Late Delivery,Medium,RoboChef Blender,order 49712 robochef blender 4 day late order 25 april
17,"Received wrong product, order mixed up. Also, I contacted support on 03 March but got no response.",Wrong Item,Medium,Vision LED TV,receiv wrong product order mix up also i contact support 03 march but got no response
18,"Received wrong product, order mixed up.",Wrong Item,High,PhotoSnap Cam,receiv wrong product order mix up
19,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,PhotoSnap Cam,cant log my account keep show unknown issue help
20,Login not working.,Account Access,High,ProTab X1,login work
21,PhotoSnap Cam is faulty. It stopped working after just 1 days.,Product Defect,Medium,PhotoSnap Cam,photosnap cam faulty stopp work after just 1 day
22,"Payment issue for my RoboChef Blender. I was not refunded for order #47429. Also, I contacted support on 02 March but got no response.",Billing Problem,Medium,RoboChef Blender,pay issue my robochef blender i refund order 47429 also i contact support 02 march but got no response
23,FitRun Treadmill is damaged. It stopped working after just 9 days.,Product Defect,Low,FitRun Treadmill,fitrun treadmill damag stopp work after just 9 day
24,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Low,EcoBreeze AC,cant log my account keep show block help
25,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in black?",General Inquiry,,FitRun Treadmill,can you tell me more about fitrun treadmill warranty also available black
26,Facing installation issue with RoboChef Blender. Setup fails at step 6.,,Medium,RoboChef Blender,fac installation issue robochef blender setup fail step 6
27,Facing installation issue wit Vision LED TV. Setup fails at step 6.,Installation Issue,Low,Vision LED TV,fac installation issue wit vision led tv setup fail step 6
28,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in blue?",General Inquiry,Medium,RoboChef Blender,can you tell me more about robochef blender warranty also available blue
29,FitRun Treadmill is malfunction. It stopped working after just 2 days.,Product Defect,Low,FitRun Treadmill,fitrun treadmill malfunction stopp work after just 2 day
30,"Order #28983 for SmartWatch V2 is 17 days late. Ordered on 05 May. Also, I contacted support on 05 May but got no response.",Late Delivery,High,SmartWatch V2,order 28983 smartwatch v2 17 day late order 05 may also i contact support 05 may but got no response
31,Payment issue fr mi EcoBreeze AC. I was charged twice fr order #64374.,Billing Problem,Low,EcoBreeze AC,pay issue fr mi ecobreeze ac i charg twice fr order 64374
32,"FitRun Treadmill is lost. It stopped working after just 3 days. Also, I contacted support on 08 May but got no response.",Product Defect,Low,FitRun Treadmill,fitrun treadmill lost stopp work after just 3 day also i contact support 08 may but got no response
33,Order #79265 for EcoBreeze AC is 15 days late. Ordered on 17 March.,Late Delivery,Low,EcoBreeze AC,order 79265 ecobreeze ac 15 day late order 17 march
34,Payment problem fr order #88128. Need urgent help.,Billing Problem,Low,RoboChef Blender,pay problem fr order 88128 need urgent help
35,Order #58187 for EcoBreeze AC is 11 days late. Ordered on 30 March.,Late Delivery,Low,EcoBreeze AC,order 58187 ecobreeze ac 11 day late order 30 march
36,RoboChef Blender is malfunction. It stopped working after just 9 days.,Product Defect,High,RoboChef Blender,robochef blender malfunction stopp work after just 9 day
37,Can't log in to my account. Keeps showing blocked. Help! Delivery expected by 04 March.,,High,FitRun Treadmill,cant log my account keep show block help delivery expect 04 march
38,,Billing Problem,High,PhotoSnap Cam,nan
39,Payment issue for my ProTab X1. I was charged twice for order #14510.,Billing Problem,Medium,ProTab X1,pay issue my protab x1 i charg twice order 14510
40,Facing installation issue with FitRun Treadmill. Setup fails at step 4.,Installation Issue,High,FitRun Treadmill,fac installation issue fitrun treadmill setup fail step 4
41,Payment issue for my FitRun Treadmill. I was not refunded for order #91776.,Billing Problem,Low,FitRun Treadmill,pay issue my fitrun treadmill i refund order 91776
42,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,PhotoSnap Cam,cant log my account keep show captcha fail help
43,,Billing Problem,Medium,ProTab X1,nan
44,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,SoundWave 300,cant log my account keep show unknown issue help
45,Facing installation issue with RoboChef Blender. Setup fails at step 2.,Installation Issue,Low,RoboChef Blender,fac installation issue robochef blender setup fail step 2
46,"Can you tell me more about the  warranty? Also, is it available in black?",General Inquiry,High,UltraClean Vacuum,can you tell me more about warranty also available black
47,Facing installation issue with PowerMax Battery. Setup fails at step 2.,Installation Issue,Medium,PowerMax Battery,fac installation issue powermax battery setup fail step 2
48,"Can you tell me more about the ProTab X1 warranty? Also, is it available in red?",General Inquiry,Low,ProTab X1,can you tell me more about protab x1 warranty also available red
49,Facing installation issue wit EcoBreeze AC. Setup fails at step 2.,Installation Issue,Medium,EcoBreeze AC,fac installation issue wit ecobreeze ac setup fail step 2
50,"Vision LED TV is lost. It stopped working after just 3 days. Also, I contacted support on 18 May but got no response.",Product Defect,High,Vision LED TV,vision led tv lost stopp work after just 3 day also i contact support 18 may but got no response
51,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white? Also, I contacted support on 04 April but got no response. Delivery expected by 04 April.",General Inquiry,High,ProTab X1,can you tell me more about protab x1 warranty also available white also i contact support 04 april but got no response delivery expect 04 april
52,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in white? Also, I contacted support on 13 April but got no response.",General Inquiry,High,FitRun Treadmill,can you tell me more about fitrun treadmill warranty also available white also i contact support 13 april but got no response
53,Facing installation issue with EcoBreeze AC. Setup fails at step 6. Delivery expected by 26 April.,Installation Issue,High,EcoBreeze AC,fac installation issue ecobreeze ac setup fail step 6 delivery expect 26 april
54,Payment issue fr mi . I was charged twice fr order #45453.,Billing Problem,High,UltraClean Vacuum,pay issue fr mi i charg twice fr order 45453
55,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Medium,SoundWave 300,cant log my account keep show block help
56,Facing installation issue with Vision LED TV. Setup fails at step 2.,Installation Issue,Low,Vision LED TV,fac installation issue vision led tv setup fail step 2
57,Payment issue for my Vision LED TV. I was not refunded for order #77581.,Billing Problem,Medium,Vision LED TV,pay issue my vision led tv i refund order 77581
58,"Can you tell me more about the  warranty? Also, is it available in white? Delivery expected by 19 March.",,High,Vision LED TV,can you tell me more about warranty also available white delivery expect 19 march
59,I ordered SmartWatch V2 but got PowerMax Battery instead. My order number is #65084. Delivery expected by 12 April.,Wrong Item,,SmartWatch V2,i order smartwatch v2 but got powermax battery instead my order number 65084 delivery expect 12 april
60,Payment issue for my ProTab X1. I was debited incorrectly for order #19053.,Billing Problem,Medium,ProTab X1,pay issue my protab x1 i debit incorrect order 19053
61,"Payment issue for my FitRun Treadmill. I was overbilled for order #84201. Also, I contacted support on 16 May but got no response.",Billing Problem,High,FitRun Treadmill,pay issue my fitrun treadmill i overbill order 84201 also i contact support 16 may but got no response
62,Payment problem for order #67337. Need urgent help. Delivery expected by 19 March.,Billing Problem,Low,PhotoSnap Cam,pay problem order 67337 need urgent help delivery expect 19 march
63,"I ordered PowerMax Battery but got ProTab X1 instead. My order number is #97429. Also, I contacted support on 07 April but got no response.",Wrong Item,High,PowerMax Battery,i order powermax battery but got protab x1 instead my order number 97429 also i contact support 07 april but got no response
64,PhotoSnap Cam is faulty. It stopped working after just 7 days.,Product Defect,Medium,PhotoSnap Cam,photosnap cam faulty stopp work after just 7 day
65,"Can you tell me more about the Vision LED TV warranty? Also, is it available in blue?",General Inquiry,Low,Vision LED TV,can you tell me more about vision led tv warranty also available blue
66,Order #95306 for PhotoSnap Cam is 17 days late. Ordered on 09 March.,Late Delivery,Low,PhotoSnap Cam,order 95306 photosnap cam 17 day late order 09 march
67,Order #96823 for SmartWatch V2 is 14 days late. Ordered on 16 March.,Late Delivery,Medium,SmartWatch V2,order 96823 smartwatch v2 14 day late order 16 march
68,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,High,Vision LED TV,cant log my account keep show captcha fail help
69,"Facing installation issue with SoundWave 300. Setup fails at step 6. Also, I contacted support on 06 April but got no response.",Installation Issue,Medium,SoundWave 300,fac installation issue soundwave 300 setup fail step 6 also i contact support 06 april but got no response
70,Payment issue for my SmartWatch V2. I was not refunded for order #40696.,Billing Problem,Low,SmartWatch V2,pay issue my smartwatch v2 i refund order 40696
71,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red? Also, I contacted support on 11 March but got no response.",General Inquiry,Medium,PhotoSnap Cam,can you tell me more about photosnap cam warranty also available red also i contact support 11 march but got no response
72,Order #53287 for PowerMax Battery is 8 days late. Ordered on 08 April.,Late Delivery,Medium,PowerMax Battery,order 53287 powermax battery 8 day late order 08 april
73,Facing installation issue with . Setup fails at step 2.,Installation Issue,Medium,UltraClean Vacuum,fac installation issue setup fail step 2
74,Facing installation issue with . Setup fails at step 2.,Installation Issue,High,ProTab X1,fac installation issue setup fail step 2
75, is error. It stopped working after just 5 days.,Product Defect,Low,EcoBreeze AC,error stopp work after just 5 day
76,Facing installation issue with . Setup fails at step 3.,Installation Issue,,EcoBreeze AC,fac installation issue setup fail step 3
77,"Order #61645 for PhotoSnap Cam is 18 days late. Ordered on 03 April. Also, I contacted support on 03 April but got no response.",Late Delivery,Medium,PhotoSnap Cam,order 61645 photosnap cam 18 day late order 03 april also i contact support 03 april but got no response
78,Payment issue for my SoundWave 300. I was overbilled for order #57017.,Billing Problem,Medium,SoundWave 300,pay issue my soundwave 300 i overbill order 57017
79,Payment issue fr mi PhotoSnap Cam. I was underbilled fr order #45489.,Billing Problem,Medium,PhotoSnap Cam,pay issue fr mi photosnap cam i underbill fr order 45489
80,"Order #29495 for ProTab X1 is 14 days late. Ordered on 01 May. Also, I contacted support on 01 May but got no response.",,High,ProTab X1,order 29495 protab x1 14 day late order 01 may also i contact support 01 may but got no response
81,I ordered PhotoSnap Cam but got FitRun Treadmill instead. My order number is #64401.,Wrong Item,Medium,PhotoSnap Cam,i order photosnap cam but got fitrun treadmill instead my order number 64401
82,"Can you tell me more about the SoundWave 300 warranty? Also, is it available in black?",General Inquiry,High,SoundWave 300,can you tell me more about soundwave 300 warranty also available black
83,Facing installation issue with . Setup fails at step 1.,Installation Issue,High,FitRun Treadmill,fac installation issue setup fail step 1
84,,General Inquiry,Low,RoboChef Blender,nan
85,"Can you tell me more about the  warranty? Also, is it available in blue?",General Inquiry,Medium,SmartWatch V2,can you tell me more about warranty also available blue
86,I ordered SmartWatch V2 but got SoundWave 300 instead. My order number is #24006.,Wrong Item,Medium,SmartWatch V2,i order smartwatch v2 but got soundwave 300 instead my order number 24006
87,PowerMax Battery is glitchy. It stopped working after just 7 days.,Product Defect,Low,PowerMax Battery,powermax battery glitchy stopp work after just 7 day
88,I ordered  but got SmartWatch V2 instead. My order number is #67796.,Wrong Item,High,PowerMax Battery,i order but got smartwatch v2 instead my order number 67796
89,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white? Also, I contacted support on 08 March but got no response.",General Inquiry,High,ProTab X1,can you tell me more about protab x1 warranty also available white also i contact support 08 march but got no response
90,"Can you tell me more about the PowerMax Battery warranty? Also, is it available in black? Delivery expected by 09 April.",General Inquiry,High,PowerMax Battery,can you tell me more about powermax battery warranty also available black delivery expect 09 april
91,Order #70536 for PowerMax Battery is 4 days late. Ordered on 01 May.,Late Delivery,,PowerMax Battery,order 70536 powermax battery 4 day late order 01 may
92,I ordered  but got SoundWave 300 instead. My order number is #93122.,Wrong Item,Medium,PhotoSnap Cam,i order but got soundwave 300 instead my order number 93122
93,I ordered SmartWatch V2 but got ProTab X1 instead. My order number is #76301.,Wrong Item,High,SmartWatch V2,i order smartwatch v2 but got protab x1 instead my order number 76301
94,Facing installation issue with PowerMax Battery. Setup fails at step 1.,Installation Issue,Low,PowerMax Battery,fac installation issue powermax battery setup fail step 1
95,Order #84203 for Vision LED TV is 5 days late. Ordered on 30 April.,Late Delivery,High,Vision LED TV,order 84203 vision led tv 5 day late order 30 april
96,Facing installation issue with PowerMax Battery. Setup fails at step 6. Delivery expected by 04 May.,Installation Issue,Medium,PowerMax Battery,fac installation issue powermax battery setup fail step 6 delivery expect 04 may
97,"Can you tell me more about teh ProTab X1 warranty? Also, is it available in white?",General Inquiry,High,ProTab X1,can you tell me more about teh protab x1 warranty also available white
98,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Medium,SoundWave 300,cant log my account keep show block help
99,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in black?",General Inquiry,Medium,SmartWatch V2,can you tell me more about smartwatch v2 warranty also available black
100,Facing installation issue with SoundWave 300. Setup fails at step 4.,Installation Issue,Medium,SoundWave 300,fac installation issue soundwave 300 setup fail step 4
101,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,Medium,UltraClean Vacuum,cant log my account keep show unknown issue help
102,"Can you tell me more about the ProTab X1 warranty? Also, is it available in blue?",General Inquiry,High,ProTab X1,can you tell me more about protab x1 warranty also available blue
103,Payment problem for order #77517. Need urgent help.,Billing Problem,High,UltraClean Vacuum,pay problem order 77517 need urgent help
104,Payment issue for my PowerMax Battery. I was charged twice for order #97621.,Billing Problem,High,PowerMax Battery,pay issue my powermax battery i charg twice order 97621
105,"Can you tell me more about teh ProTab X1 warranty? Also, is it available in black? Also, I contacted support on 28 April but got no response.",,Low,ProTab X1,can you tell me more about teh protab x1 warranty also available black also i contact support 28 april but got no response
106,Payment issue for my ProTab X1. I was underbilled for order #71399. Delivery expected by 30 March.,Billing Problem,High,ProTab X1,pay issue my protab x1 i underbill order 71399 delivery expect 30 march
107,Order #36632 for EcoBreeze AC is 15 days late. Ordered on 13 May.,Late Delivery,High,EcoBreeze AC,order 36632 ecobreeze ac 15 day late order 13 may
